SampleID	Group	SeedType	Organ	Age	Days
MSD0.1	H0	Hulled	Seed	0day	0
MSD0.2	H0	Hulled	Seed	0day	0
MSD0.3	H0	Hulled	Seed	0day	0
MSD1.1	H1	Hulled	Seed_1	1day	1
MSD1.2	H1	Hulled	Seed_1	1day	1
MSD1.3	H1	Hulled	Seed_1	1day	1
MSD14.L1	H14L	Hulled	Leaf	14days	14
MSD14.L2	H14L	Hulled	Leaf	14days	14
MSD14.L3	H14L	Hulled	Leaf	14days	14
MSD14.R1	H14R	Hulled	Root	14days	14
MSD14.R2	H14R	Hulled	Root	14days	14
MSD14.R3	H14R	Hulled	Root	14days	14
MSD14.S1	H14S	Hulled	Stem	14days	14
MSD14.S2	H14S	Hulled	Stem	14days	14
MSD14.S3	H14S	Hulled	Stem	14days	14
MSD4.1	H4	Hulled	plant_4	4days	4
MSD4.2	H4	Hulled	plant_4	4days	4
MSD4.3	H4	Hulled	plant_4	4days	4
MSD7.R1	H7R	Hulled	Root	7days	7
MSD7.R2	H7R	Hulled	Root	7days	7
MSD7.R3	H7R	Hulled	Root	7days	7
MSD7.Sh1	H7sh	Hulled	Shoot	7days	7
MSD7.Sh2	H7sh	Hulled	Shoot	7days	7
MSD7.Sh3	H7sh	Hulled	Shoot	7days	7
MSI0.1	I0	Intact	Seed	0day	0
MSI0.2	I0	Intact	Seed	0day	0
MSI0.3	I0	Intact	Seed	0day	0
MSI1.1	I1	Intact	Seed_1	1day	1
MSI1.2	I1	Intact	Seed_1	1day	1
MSI1.3	I1	Intact	Seed_1	1day	1
MSI14.L1	I14L	Intact	Leaf	14days	14
MSI14.L2	I14L	Intact	Leaf	14days	14
MSI14.L3	I14L	Intact	Leaf	14days	14
MSI14.R1	I14R	Intact	Root	14days	14
MSI14.R2	I14R	Intact	Root	14days	14
MSI14.R3	I14R	Intact	Root	14days	14
MSI14.S1	I14S	Intact	Stem	14days	14
MSI14.S2	I14S	Intact	Stem	14days	14
MSI14.S3	I14S	Intact	Stem	14days	14
MSI4.1	I4	Intact	plant_4	4days	4
MSI4.2	I4	Intact	plant_4	4days	4
MSI4.3	I4	Intact	plant_4	4days	4
MSI7.R1	I7R	Intact	Root	7days	7
MSI7.R2	I7R	Intact	Root	7days	7
MSI7.Sh1	I7Sh	Intact	Shoot	7days	7
MSI7.Sh2	I7Sh	Intact	Shoot	7days	7
