SampleID	Hull	Organ	Age	Group
MSD0.1	hulled	Grain	0	H0
MSD0.2	hulled	Grain	0	H0
MSD0.3	hulled	Grain	0	H0
MSD1.1	hulled	Grain	1	H1
MSD1.2	hulled	Grain	1	H1
MSD1.3	hulled	Grain	1	H1
MSD14.L1	hulled	Leaf	14	H14L
MSD14.L2	hulled	Leaf	14	H14L
MSD14.L3	hulled	Leaf	14	H14L
MSD14.R1	hulled	Root	14	H14R
MSD14.R2	hulled	Root	14	H14R
MSD14.R3	hulled	Root	14	H14R
MSD14.S1	hulled	Stem	14	H14S
MSD14.S2	hulled	Stem	14	H14S
MSD14.S3	hulled	Stem	14	H14S
MSD4.1	hulled	Grain	4	H4
MSD4.2	hulled	Grain	4	H4
MSD4.3	hulled	Grain	4	H4
MSD7.R1	hulled	Root	7	H7R
MSD7.R2	hulled	Root	7	H7R
MSD7.R3	hulled	Root	7	H7R
MSD7.Sh1	hulled	Shoot	7	H7Sh
MSD7.Sh2	hulled	Shoot	7	H7Sh
MSD7.Sh3	hulled	Shoot	7	H7Sh
MSI0.1	intact	Seed	0	U0
MSI0.2	intact	Seed	0	U0
MSI0.3	intact	Seed	0	U0
MSI1.1	intact	Grain	1	U1
MSI1.2	intact	Grain	1	U1
MSI1.3	intact	Grain	1	U1
MSI14.L1	intact	Leaf	14	U14L
MSI14.L2	intact	Leaf	14	U14L
MSI14.L3	intact	Leaf	14	U14L
MSI14.R1	intact	Root	14	U14R
MSI14.R2	intact	Root	14	U14R
MSI14.R3	intact	Root	14	U14R
MSI14.S1	intact	Stem	14	U14S
MSI14.S2	intact	Stem	14	U14S
MSI14.S3	intact	Stem	14	U14S
MSI4.1	intact	Grain	4	U4
MSI4.2	intact	Grain	4	U4
MSI4.3	intact	Grain	4	U4
MSI7.R1	intact	Root	7	U7R
MSI7.R2	intact	Root	7	U7R
MSI7.Sh1	intact	Shoot	7	U7Sh
MSI7.Sh2	intact	Shoot	7	U7Sh
